open,high,low,close
36880,39310,36880,37510
37510,39000,35620,36090
36090,38570,36090,38570
38570,38570,35840,36060
36060,38300,35910,36490
36490,39000,36490,39000
39000,40680,38280,40260
40260,45000,39260,41510
41510,41510,40980,40980
40980,41560,40790,40790
40790,42500,40790,42320
42320,43800,42320,42910
42910,47410,42910,45210
45210,54720,45170,51510
51510,51510,44760,45400
45400,48580,44770,47130
47130,47740,42820,47740
47740,49690,43580,47030
47030,48600,46100,46100
46100,48210,45910,46370
46370,47240,44230,44480
44480,45010,42760,43478
43478,44180,43100,44180
44180,44840,43100,44530
44530,45280,43100,45280
45280,48770,43960,44460
44500,48430,44000,45810
45810,46970,44000,44140
44140,46020,44010,45930
45930,45940,44760,45680
45680,47130,44890,44980
44980,47830,44940,45460
45460,47520,45320,47220
47140,48190,45690,46440
46440,54980,45900,46980
46850,48340,45000,47150
47150,47600,45910,46950
46950,46990,46500,46500
46500,48190,45666,45820
45820,46490,43100,43100
43100,46160,42110,44660
43030,53000,41590,44810
43090,45690,42240,45060
44230,46100,41965,45490
42890,46999,42160,43170
43170,43980,42100,43170
43170,43650,40900,40900
40900,42900,37790,37930
37930,43350,37500,38420
38420,42970,38020,39120
39120,40330,38500,40330
40330,41030,39080,41010
41110,41990,38990,41700
41700,42150,40180,41210
41210,42000,40500,40500
40500,41226,39750,40420
40420,41130,40110,40520
40520,41510,39500,40690
40430,40690,38540,38540
38800,39860,38000,39060
39060,39890,37970,38160
38160,39050,38070,38820
38820,39120,38310,38610
38610,38910,38000,38000
38000,39730,36700,36700
36700,37430,33140,33280
33280,38030,31250,36470
36470,36970,33630,34180
34180,35890,33800,34350
34350,36000,34350,34540
34540,35510,33990,34160
35160,35160,33000,33400
33400,33470,32530,32580
32580,33200,32040,32970
32970,34340,28020,28940
28940,28940,20000,22520
22520,26080,21450,26080
26080,26800,25090,25230
25230,25510,24000,24400
24400,25980,23310,25880
25880,25880,24100,25310
25310,25470,24690,25100
25210,25470,24400,25130
25130,28390,24900,27700
27700,28250,26760,27400
27400,28350,27100,27530
27530,30170,27530,29550
29550,36450,29200,33290
33290,33330,30000,31150
31150,32210,30630,30690
30690,30930,26750,27120
27120,29170,27120,27780
28310,28310,26940,27220
27220,27690,25390,25830
25830,28250,25830,27580
27580,29100,26920,28720
28720,28750,26470,26990
26990,27450,26130,26800
26800,26960,25710,26590
26560,27659,26230,27659
27659,27659,26710,27250
27250,27250,26400,26770
26770,26930,26030,26090
26090,27100,26060,26710
26710,27181,26420,26760
26760,28430,26350,28000
28000,30250,27960,29600
29260,31930,29260,29731
